模型,方法,时间(秒),日志文件路径
deepseek-1.3b,Traditional,202.35,mbpp+_outputs/deepseek-1.3b/Traditional/deepseek-1.3b.log
deepseek-1.3b,AdaFixL,365.19,mbpp+_outputs/deepseek-1.3b/AdaFixL/deepseek-1.3b.log
deepseek-1.3b,beamsearch_3,258.32,mbpp+_outputs/deepseek-1.3b/beamsearch_3/deepseek-1.3b.log
deepseek-1.3b,AdaDynL,318.33,mbpp+_outputs/deepseek-1.3b/AdaDynL/deepseek-1.3b.log
qwen3-0.6b,Traditional,3786.92,mbpp+_outputs/qwen3-0.6b/Traditional/qwen3-0.6b.log
qwen3-0.6b,AdaFixL,1093.44,mbpp+_outputs/qwen3-0.6b/AdaFixL/qwen3-0.6b.log
qwen3-0.6b,beamsearch_3,353.09,mbpp+_outputs/qwen3-0.6b/beamsearch_3/qwen3-0.6b.log
qwen3-0.6b,AdaDynL,1135.05,mbpp+_outputs/qwen3-0.6b/AdaDynL/qwen3-0.6b.log
qwen3-1.7b,Traditional,904.3,mbpp+_outputs/qwen3-1.7b/Traditional/qwen3-1.7b.log
qwen3-1.7b,AdaFixL,860.88,mbpp+_outputs/qwen3-1.7b/AdaFixL/qwen3-1.7b.log
qwen3-1.7b,beamsearch_3,530.12,mbpp+_outputs/qwen3-1.7b/beamsearch_3/qwen3-1.7b.log
qwen3-1.7b,AdaDynL,1422.99,mbpp+_outputs/qwen3-1.7b/AdaDynL/qwen3-1.7b.log
qwen3-4b,Traditional,1544.67,mbpp+_outputs/qwen3-4b/Traditional/qwen3-4b.log
qwen3-4b,AdaFixL,1274.97,mbpp+_outputs/qwen3-4b/AdaFixL/qwen3-4b.log
qwen3-4b,beamsearch_3,673.64,mbpp+_outputs/qwen3-4b/beamsearch_3/qwen3-4b.log
qwen3-4b,AdaDynL,1647.85,mbpp+_outputs/qwen3-4b/AdaDynL/qwen3-4b.log
qwen3-8b,Traditional,1075.0,mbpp+_outputs/qwen3-8b/Traditional/qwen3-8b.log
qwen3-8b,AdaFixL,1514.69,mbpp+_outputs/qwen3-8b/AdaFixL/qwen3-8b.log
qwen3-8b,beamsearch_3,707.02,mbpp+_outputs/qwen3-8b/beamsearch_3/qwen3-8b.log
qwen3-8b,AdaDynL,1860.19,mbpp+_outputs/qwen3-8b/AdaDynL/qwen3-8b.log
deepseek-6.7b,Traditional,386.81,mbpp+_outputs/deepseek-6.7b/Traditional/deepseek-6.7b.log
deepseek-6.7b,AdaFixL,492.04,mbpp+_outputs/deepseek-6.7b/AdaFixL/deepseek-6.7b.log
deepseek-6.7b,beamsearch_3,737.55,mbpp+_outputs/deepseek-6.7b/beamsearch_3/deepseek-6.7b.log
deepseek-6.7b,AdaDynL,615.35,mbpp+_outputs/deepseek-6.7b/AdaDynL/deepseek-6.7b.log
stable-3b,Traditional,223.59,mbpp+_outputs/stable-3b/Traditional/stable-3b.log
stable-3b,AdaFixL,287.72,mbpp+_outputs/stable-3b/AdaFixL/stable-3b.log
stable-3b,beamsearch_3,321.06,mbpp+_outputs/stable-3b/beamsearch_3/stable-3b.log
stable-3b,AdaDynL,485.0,mbpp+_outputs/stable-3b/AdaDynL/stable-3b.log
codellama-7b,Traditional,1295.43,mbpp+_outputs/codellama-7b/Traditional/codellama-7b.log
codellama-7b,AdaFixL,852.54,mbpp+_outputs/codellama-7b/AdaFixL/codellama-7b.log
codellama-7b,beamsearch_3,1572.68,mbpp+_outputs/codellama-7b/beamsearch_3/codellama-7b.log
codellama-7b,AdaDynL,1344.21,mbpp+_outputs/codellama-7b/AdaDynL/codellama-7b.log
