greedy + humaneval:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 66.27  | 1.18    | 0.0178     | 0.0            |
| deepseek-6.7b | 64.32  | 2.47    | 0.0383     | 0.0            |
| stable-3b     | 79.98  | 1.5     | 0.0188     | 0.0            |
| codellama-7b  | 104.92 | 5.02    | 0.0479     | 0.0            |
| qwen3-0.6b    | 168.62 | 3.67    | 0.0217     | 0.0            |
| qwen3-1.7b    | 100.57 | 2.7     | 0.0268     | 0.0            |
| qwen3-4b      | 115.34 | 4.19    | 0.0363     | 0.0            |
| qwen3-8b      | 95.24  | 5.05    | 0.053      | 0.0            |



greedy + mbpp:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 75.61  | 1.14    | 0.015      | 0.0            |
| deepseek-6.7b | 70.25  | 2.12    | 0.0302     | 0.0            |
| stable-3b     | 71.83  | 1.17    | 0.0163     | 0.0            |
| codellama-7b  | 90.88  | 3.23    | 0.0356     | 0.0            |
| qwen3-0.6b    | 341.07 | 6.92    | 0.0203     | 0.0            |
| qwen3-1.7b    | 131.8  | 2.83    | 0.0215     | 0.0            |
| qwen3-4b      | 86.55  | 2.71    | 0.0313     | 0.0            |
| qwen3-8b      | 94.58  | 4.03    | 0.0426     | 0.0            |



beamsearch + humaneval:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 74.8   | 2.08    | 0.0278     | 0.0            |
| deepseek-6.7b | 67.68  | 6.27    | 0.0926     | 0.0            |
| stable-3b     | 73.23  | 2.87    | 0.0392     | 0.0            |
| codellama-7b  | 104.65 | 13.69   | 0.1308     | 0.0            |
| qwen3-0.6b    | 98.71  | 3.04    | 0.0308     | 0.0            |
| qwen3-1.7b    | 73.57  | 2.71    | 0.0369     | 0.0            |
| qwen3-4b      | 89.61  | 7.2     | 0.0804     | 0.0            |
| qwen3-8b      | 81.85  | 9.37    | 0.1144     | 0.0            |



beamsearch + mbpp:
| Model         | AvgTok | AvgTime | TimePerTok | LookaheadRatio |
|---------------|--------|---------|------------|----------------|
| deepseek-1.3b | 71.11  | 1.43    | 0.0201     | 0.0            |
| deepseek-6.7b | 62.19  | 2.97    | 0.0478     | 0.0            |
| stable-3b     | 63.12  | 1.48    | 0.0234     | 0.0            |
| codellama-7b  | 81.03  | 5.28    | 0.0651     | 0.0            |
| qwen3-0.6b    | 80.94  | 2.07    | 0.0256     | 0.0            |
| qwen3-1.7b    | 85.45  | 2.57    | 0.0301     | 0.0            |
| qwen3-4b      | 52.49  | 2.1     | 0.0399     | 0.0            |
| qwen3-8b      | 60.25  | 3.44    | 0.0571     | 0.0            |



adaFixL + humaneval:
